rank,bgg_url,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,designer,weight
21,https://boardgamegeek.com/boardgame/205059/mansions-madness-second-edition,205059,Mansions of Madness: Second Edition,1,5,180,120,,2016,8.32296,7.8517,6161,//cf.geekdo-images.com/images/pic3118622.jpg,14,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Modular Board, Partnerships, Pick-up and Deliver, Role Playing, Variable Player Powers",10723,"Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle",Nikki Valens,2.6423
22,https://boardgamegeek.com/boardgame/121921/robinson-crusoe-adventures-cursed-island,121921,Robinson Crusoe: Adventures on the Cursed Island,1,4,180,90,,2012,8.017,7.84102,17944,//cf.geekdo-images.com/images/pic3165731.jpg,14,"Action / Movement Programming, Co-operative Play, Dice Rolling, Modular Board, Simultaneous Action Selection, Storytelling, Tile Placement, Variable Player Powers, Worker Placement",26764,"Adventure, Exploration, Fighting, Novel-based",Ignacy Trzewiczek,3.6942
23,https://boardgamegeek.com/boardgame/124742/android-netrunner,124742,Android: Netrunner,2,2,45,45,,2012,8.00614,7.82772,20239,//cf.geekdo-images.com/images/pic1324609.jpg,14,"Action Point Allowance System, Hand Management, Secret Unit Deployment, Variable Player Powers",31853,"Bluffing, Card Game, Collectible Components, Science Fiction","Richard Garfield, Lukas Litzsinger",3.3446
24,https://boardgamegeek.com/boardgame/209010/mechs-vs-minions,209010,Mechs vs. Minions,2,4,90,60,,2016,8.38702,7.82516,4528,//cf.geekdo-images.com/images/pic3184103.jpg,14,"Action / Movement Programming, Card Drafting, Co-operative Play, Dice Rolling, Modular Board, Variable Player Powers",7795,"Fantasy, Fighting, Miniatures, Video Game Theme","Chris Cantrell, Rick Ernst, Stone Librande, Prashant Saraswat, Nathan Tiras",2.4545
25,https://boardgamegeek.com/boardgame/28720/brass-lancashire,28720,Brass: Lancashire,2,4,180,120,,2007,8.00871,7.81158,10644,//cf.geekdo-images.com/images/pic3469216.jpg,14,"Hand Management, Route/Network Building",11090,"Economic, Industry / Manufacturing, Transportation",Martin Wallace,3.8743
26,https://boardgamegeek.com/boardgame/35677/le-havre,35677,Le Havre,1,5,150,30,,2008,7.93079,7.81014,18913,//cf.geekdo-images.com/images/pic3330230.jpg,12,Worker Placement,19720,"City Building, Economic, Industry / Manufacturing, Nautical",Uwe Rosenberg,3.7595
27,https://boardgamegeek.com/boardgame/175914/food-chain-magnate,175914,Food Chain Magnate,2,5,240,120,,2015,8.28134,7.80928,4931,//cf.geekdo-images.com/images/pic2649434.png,14,"Modular Board, Route/Network Building, Simultaneous Action Selection",6524,"Economic, Industry / Manufacturing","Jeroen Doumen, Joris Wiersinga",4.1854
28,https://boardgamegeek.com/boardgame/178900/codenames,178900,Codenames,2,8,15,15,,2015,7.90526,7.80328,29473,//cf.geekdo-images.com/images/pic2582929.jpg,14,"Memory, Partnerships, Pattern Recognition, Press Your Luck",46928,"Card Game, Deduction, Party Game, Spies/Secret Agents, Word Game",Vlaada Chvátil,1.3742
29,https://boardgamegeek.com/boardgame/146508/time-stories,146508,T.I.M.E Stories,2,4,90,90,,2015,8.05722,7.79737,10136,//cf.geekdo-images.com/images/pic2617634.png,12,"Co-operative Play, Dice Rolling, Role Playing, Storytelling, Time Track, Variable Player Powers, Voting",16517,"Adventure, Mature / Adult, Medieval, Science Fiction","Peggy Chassenet, Manuel Rozoy",2.662
30,https://boardgamegeek.com/boardgame/164928/orleans,164928,Orléans,2,4,90,90,90,2014,8.07116,7.79665,8303,//cf.geekdo-images.com/images/pic2578828.png,12,"Deck / Pool Building, Point to Point Movement",10181,"Medieval, Religious, Travel",Reiner Stockhausen,3.1102
31,https://boardgamegeek.com/boardgame/126163/tzolk-mayan-calendar,126163,Tzolk'in: The Mayan Calendar,2,4,90,90,90,2012,7.9423,7.79542,17716,//cf.geekdo-images.com/images/pic1413480.jpg,13,"Set Collection, Worker Placement",20053,"Ancient, Civilization, Economic, Farming, Mythology","Simone Luciani, Daniele Tascini",3.6135
32,https://boardgamegeek.com/boardgame/205637/arkham-horror-card-game,205637,Arkham Horror: The Card Game,1,2,120,60,120,2016,8.41892,7.79393,4905,//cf.geekdo-images.com/images/pic3122349.jpg,14,"Action Point Allowance System, Co-operative Play, Deck / Pool Building, Hand Management, Role Playing, Variable Player Powers",10647,"Adventure, Card Game, Collectible Components, Fantasy, Horror, Novel-based","Nate French, Matthew Newman",3.05
33,https://boardgamegeek.com/boardgame/193738/great-western-trail,193738,Great Western Trail,2,4,150,75,150,2016,8.26276,7.78213,4658,//cf.geekdo-images.com/images/pic3113247.jpg,12,"Deck / Pool Building, Hand Management, Point to Point Movement, Tile Placement",6232,American West,Alexander Pfister,3.7462
34,https://boardgamegeek.com/boardgame/122515/keyflower,122515,Keyflower,2,6,120,90,120,2012,7.94044,7.75484,11682,//cf.geekdo-images.com/images/pic2278942.jpg,12,"Auction/Bidding, Memory, Modular Board, Pick-up and Deliver, Route/Network Building, Set Collection, Tile Placement, Worker Placement",14265,"City Building, Economic, Nautical, Renaissance, Territory Building","Sebastian Bleasdale, Richard Breese",3.3378
35,https://boardgamegeek.com/boardgame/124361/concordia,124361,Concordia,2,5,100,100,100,2013,7.97827,7.75431,9914,//cf.geekdo-images.com/images/pic3453267.jpg,13,"Card Drafting, Deck / Pool Building, Hand Management, Point to Point Movement",10634,"Ancient, Economic, Nautical",Mac Gerdts,3.1385
36,https://boardgamegeek.com/boardgame/68448/7-wonders,68448,7 Wonders,2,7,30,30,30,2010,7.83664,7.75048,51571,//cf.geekdo-images.com/images/pic860217.jpg,10,"Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers",66155,"Ancient, Card Game, City Building, Civilization",Antoine Bauza,2.3445
37,https://boardgamegeek.com/boardgame/18602/caylus,18602,Caylus,2,5,150,60,150,2005,7.86162,7.72852,21792,//cf.geekdo-images.com/images/pic1638795.jpg,12,Worker Placement,21904,"City Building, Economic, Medieval",William Attia,3.821
38,https://boardgamegeek.com/boardgame/171623/voyages-marco-polo,171623,The Voyages of Marco Polo,2,4,100,40,100,2015,7.98577,7.72824,8984,//cf.geekdo-images.com/images/pic2461346.png,12,"Card Drafting, Dice Rolling, Point to Point Movement, Set Collection, Variable Player Powers, Worker Placement",10185,"Dice, Economic, Medieval, Travel","Simone Luciani, Daniele Tascini",3.1821
39,https://boardgamegeek.com/boardgame/150376/dead-winter-crossroads-game,150376,Dead of Winter: A Crossroads Game,2,5,210,45,210,2014,7.86666,7.71563,22744,//cf.geekdo-images.com/images/pic3016500.jpg,14,"Action Point Allowance System, Area Movement, Co-operative Play, Dice Rolling, Hand Management, Storytelling, Trading, Variable Player Powers, Voting",31709,"Bluffing, Horror, Zombies","Jonathan Gilmour, Isaac Vega",3
40,https://boardgamegeek.com/boardgame/146021/eldritch-horror,146021,Eldritch Horror,1,8,240,120,240,2013,7.94575,7.71066,16126,//cf.geekdo-images.com/images/pic1872452.jpg,14,"Co-operative Play, Dice Rolling, Point to Point Movement, Variable Player Powers",24475,"Adventure, Fantasy, Fighting, Horror, Novel-based","Corey Konieczka, Nikki Valens",3.3074
41,https://boardgamegeek.com/boardgame/12493/twilight-imperium-third-edition,12493,Twilight Imperium (Third Edition),3,6,300,180,300,2005,7.9253,7.70886,14981,//cf.geekdo-images.com/images/pic50404.jpg,12,"Action Point Allowance System, Area-Impulse, Dice Rolling, Hex-and-Counter, Modular Board, Trading, Variable Phase Order, Variable Player Powers, Voting",17292,"Civilization, Negotiation, Political, Science Fiction, Space Exploration, Wargame",Christian T. Petersen,4.2261
42,https://boardgamegeek.com/boardgame/163412/patchwork,163412,Patchwork,2,2,30,15,30,2014,7.83166,7.69528,18262,//cf.geekdo-images.com/images/pic2270442.jpg,8,"Tile Placement, Time Track",27320,"Abstract Strategy, Puzzle",Uwe Rosenberg,1.7131
43,https://boardgamegeek.com/boardgame/62219/dominant-species,62219,Dominant Species,2,6,240,120,240,2010,7.8658,7.69112,12892,//cf.geekdo-images.com/images/pic784193.jpg,14,"Area Control / Area Influence, Card Drafting, Grid Movement, Modular Board, Tile Placement, Variable Player Powers, Worker Placement",13706,"Animals, Environmental, Prehistoric",Chad Jensen,4.0275
44,https://boardgamegeek.com/boardgame/132531/roll-galaxy,132531,Roll for the Galaxy,2,5,45,,45,2014,7.85096,7.68465,14077,//cf.geekdo-images.com/images/pic1473629.jpg,13,"Deck / Pool Building, Dice Rolling, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers, Worker Placement",18517,"Civilization, Dice, Economic, Science Fiction, Space Exploration","Wei-Hwa Huang, Thomas Lehmann",2.7593
45,https://boardgamegeek.com/boardgame/28143/race-galaxy,28143,Race for the Galaxy,2,4,60,,60,2007,7.77161,7.68436,34190,//cf.geekdo-images.com/images/pic236327.jpg,12,"Hand Management, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers",40798,"Card Game, Civilization, Economic, Science Fiction, Space Exploration",Thomas Lehmann,2.9703
46,https://boardgamegeek.com/boardgame/110327/lords-waterdeep,110327,Lords of Waterdeep,2,5,120,,120,2012,,7.68306,28836,//cf.geekdo-images.com/images/pic1116080.jpg,12,"Set Collection, Take That, Worker Placement",35146,"City Building, Fantasy","Peter Lee, Rodney Thompson",2.504
47,https://boardgamegeek.com/boardgame/157354/five-tribes,157354,Five Tribes,2,4,80,,80,2014,,7.68305,17165,//cf.geekdo-images.com/images/pic2055255.jpg,13,"Area Control / Area Influence, Auction/Bidding, Modular Board, Set Collection, Variable Phase Order",22830,"Arabian, Fantasy, Mythology",Bruno Cathala,2.8918
48,https://boardgamegeek.com/boardgame/177736/feast-odin,177736,A Feast for Odin,1,4,120,,120,2016,,7.67792,3652,//cf.geekdo-images.com/images/pic3146943.png,12,"Area Enclosure, Dice Rolling, Pattern Building, Press Your Luck, Tile Placement, Worker Placement",4836,"Economic, Industry / Manufacturing, Medieval, Puzzle",Uwe Rosenberg,3.8138
49,https://boardgamegeek.com/boardgame/93/el-grande,93,El Grande,2,5,120,,120,1995,,7.67632,18410,//cf.geekdo-images.com/images/pic180538.jpg,12,"Area Control / Area Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",17809,Renaissance,"Wolfgang Kramer, Richard Ulrich",3.0863
50,https://boardgamegeek.com/boardgame/40834/dominion-intrigue,40834,Dominion: Intrigue,2,4,30,,30,2009,,7.67185,23124,//cf.geekdo-images.com/images/pic460011.jpg,13,"Card Drafting, Deck / Pool Building, Hand Management",32533,"Card Game, Medieval",Donald X. Vaccarino,2.4441
51,https://boardgamegeek.com/boardgame/103885/star-wars-x-wing-miniatures-game,103885,Star Wars: X-Wing Miniatures Game,2,2,45,,45,2012,,7.66723,16741,//cf.geekdo-images.com/images/pic1603292.jpg,14,"Action / Movement Programming, Dice Rolling, Player Elimination, Simultaneous Action Selection, Variable Player Powers",28683,"Aviation / Flight, Bluffing, Collectible Components, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame","Steven Kimball, James Kniffen, Corey Konieczka, Jason Little, Brady Sadler, Adam Sadler",2.4697
52,https://boardgamegeek.com/boardgame/37111/battlestar-galactica,37111,Battlestar Galactica,3,6,300,,300,2008,,7.64016,25350,//cf.geekdo-images.com/images/pic354500.jpg,10,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Partnerships, Role Playing, Variable Player Powers",28132,"Bluffing, Deduction, Movies / TV / Radio theme, Political, Science Fiction, Space Exploration, Spies/Secret Agents",Corey Konieczka,3.2285
53,https://boardgamegeek.com/boardgame/159675/fields-arle,159675,Fields of Arle,1,2,120,,120,2014,,7.6291,3477,//cf.geekdo-images.com/images/pic2225968.png,13,Worker Placement,5934,"Economic, Farming, Industry / Manufacturing",Uwe Rosenberg,3.9114
54,https://boardgamegeek.com/boardgame/36218/dominion,36218,Dominion,2,4,30,,30,2008,,7.60787,55841,//cf.geekdo-images.com/images/pic394356.jpg,13,"Card Drafting, Deck / Pool Building, Hand Management",71876,"Card Game, Medieval",Donald X. Vaccarino,2.3754
55,https://boardgamegeek.com/boardgame/2511/sherlock-holmes-consulting-detective-thames-murder,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1,8,120,,120,1981,,7.60786,9020,//cf.geekdo-images.com/images/pic3514298.jpg,10,"Co-operative Play, Storytelling",18101,"Deduction, Murder/Mystery, Novel-based, Post-Napoleonic, Spies/Secret Agents","Raymond Edwards, Suzanne Goldberg, Gary Grady",2.7661
56,https://boardgamegeek.com/boardgame/42/tigris-euphrates,42,Tigris & Euphrates,2,4,90,,90,1997,,7.59615,20158,//cf.geekdo-images.com/images/pic2338267.jpg,12,"Area Control / Area Influence, Hand Management, Set Collection, Tile Placement",21973,"Abstract Strategy, Ancient, Civilization, Territory Building",Reiner Knizia,3.5307
57,https://boardgamegeek.com/boardgame/144733/russian-railroads,144733,Russian Railroads,2,4,120,,120,2013,,7.59494,8859,//cf.geekdo-images.com/images/pic1772936.jpg,12,Worker Placement,9748,"Industry / Manufacturing, Trains","Helmut Ohley, Leonhard ""Lonny"" Orgler",3.4103
58,https://boardgamegeek.com/boardgame/102680/trajan,102680,Trajan,2,4,120,,120,2011,,7.59456,9606,//cf.geekdo-images.com/images/pic1054375.jpg,12,"Area Movement, Card Drafting, Hand Management, Set Collection",11382,"Ancient, Political",Stefan Feld,3.6733
59,https://boardgamegeek.com/boardgame/30549/pandemic,30549,Pandemic,2,4,45,,45,2008,,7.58524,62241,//cf.geekdo-images.com/images/pic1534148.jpg,8,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",88699,Medical,Matt Leacock,2.4297
60,https://boardgamegeek.com/boardgame/172386/mombasa,172386,Mombasa,,4,150,,150,2015,,7.58432,4848,//cf.geekdo-images.com/images/pic2611318.jpg,12,"Action / Movement Programming, Area Control / Area Influence, Card Drafting, Deck / Pool Building, Hand Management, Simultaneous Action Selection, Stock Holding, Variable Player Powers, Worker Placement",6675,Economic,Alexander Pfister,3.8563
61,https://boardgamegeek.com/boardgame/73439/troyes,73439,Troyes,1,4,90,90,90,2010,,7.57648,11168,//cf.geekdo-images.com/images/pic750583.jpg,12,"Area Control / Area Influence, Dice Rolling, Worker Placement",11800,"Dice, Economic, Medieval","Sébastien Dujardin, Xavier Georges, Alain Orban",3.4666
62,https://boardgamegeek.com/boardgame/155426/castles-mad-king-ludwig,155426,Castles of Mad King Ludwig,1,4,90,90,90,2014,,7.57626,13082,//cf.geekdo-images.com/images/pic1961827.jpg,13,"Card Drafting, Pattern Building, Set Collection, Tile Placement",17778,Post-Napoleonic,Ted Alspach,2.6557
63,https://boardgamegeek.com/boardgame/521/crokinole,521,Crokinole,2,4,30,30,30,1876,,7.57454,7643,//cf.geekdo-images.com/images/pic79413.jpg,8,Partnerships,5435,Action / Dexterity,(Uncredited),1.2871
64,https://boardgamegeek.com/boardgame/104162/descent-journeys-dark-second-edition,104162,Descent: Journeys in the Dark (Second Edition),2,5,120,120,120,2012,,7.57391,14491,//cf.geekdo-images.com/images/pic1180640.jpg,14,"Action Point Allowance System, Dice Rolling, Grid Movement, Hand Management, Modular Board, Partnerships, Variable Player Powers",23184,"Adventure, Exploration, Fantasy, Fighting, Miniatures","Daniel Clark (I), Corey Konieczka, Adam Sadler, Kevin Wilson",3.1894
65,https://boardgamegeek.com/boardgame/194655/santorini,194655,Santorini,2,4,20,20,20,2016,,7.57019,4322,//cf.geekdo-images.com/images/pic3283110.png,8,"Grid Movement, Tile Placement, Variable Player Powers",7826,"Abstract Strategy, Ancient, Mythology",Gord!,1.7961
66,https://boardgamegeek.com/boardgame/9609/war-ring-first-edition,9609,War of the Ring (first edition),2,4,180,180,180,2004,,7.56401,8924,//cf.geekdo-images.com/images/pic725882.jpg,12,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management",11401,"Adventure, Dice, Fantasy, Novel-based, Territory Building, Wargame","Roberto Di Meglio, Marco Maggi, Francesco Nepitello",3.839
67,https://boardgamegeek.com/boardgame/128882/resistance-avalon,128882,The Resistance: Avalon,5,10,30,30,30,2012,,7.55261,15848,//cf.geekdo-images.com/images/pic1398895.jpg,13,"Memory, Partnerships, Simultaneous Action Selection, Variable Player Powers, Voting",22388,"Bluffing, Card Game, Deduction, Fantasy, Medieval, Negotiation, Party Game",Don Eskridge,1.7788
68,https://boardgamegeek.com/boardgame/103343/game-thrones-board-game-second-edition,103343,A Game of Thrones: The Board Game (Second Edition),3,6,240,120,240,2011,,7.54441,17670,//cf.geekdo-images.com/images/pic1077906.jpg,14,"Area Control / Area Influence, Area Movement, Auction/Bidding, Hand Management, Player Elimination, Simultaneous Action Selection, Variable Player Powers",22900,"Bluffing, Fantasy, Negotiation, Novel-based, Political, Wargame",Christian T. Petersen,3.6431
69,https://boardgamegeek.com/boardgame/155068/arcadia-quest,155068,Arcadia Quest,2,4,60,60,60,2014,,7.54417,4907,//cf.geekdo-images.com/images/pic2305263.jpg,13,"Dice Rolling, Grid Movement, Modular Board, Variable Player Powers",8319,"Adventure, Fantasy, Fighting, Miniatures","Thiago Aranha, Guilherme Goulart, Eric M. Lang, Fred Perret",2.5511
70,https://boardgamegeek.com/boardgame/127023/kemet,127023,Kemet,2,5,120,90,120,,7.7735,7.53891,9175,//cf.geekdo-images.com/images/pic1431241.jpg,13,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting, Hand Management",11289,"Ancient, Fighting, Miniatures, Mythology","Jacques Bariot, Guillaume Montiage",2.9771
71,https://boardgamegeek.com/boardgame/34635/stone-age,34635,Stone Age,2,4,90,60,90,,7.63345,7.53871,30380,//cf.geekdo-images.com/images/pic1632539.jpg,10,"Dice Rolling, Set Collection, Worker Placement",31759,"Dice, Prehistoric",Bernd Brunnhofer,2.5057
72,https://boardgamegeek.com/boardgame/161970/alchemists,161970,Alchemists,2,4,120,120,120,,7.76865,7.5332,9774,//cf.geekdo-images.com/images/pic2241156.png,13,"Action Point Allowance System, Card Drafting, Hand Management, Worker Placement",13133,"Deduction, Fantasy",Matú? Kotry,3.787
73,https://boardgamegeek.com/boardgame/70149/ora-et-labora,70149,Ora et Labora,1,4,180,60,180,,7.78547,7.52822,7507,//cf.geekdo-images.com/images/pic1165426.jpg,13,"Modular Board, Pattern Building, Set Collection, Tile Placement, Worker Placement",9347,"City Building, Economic, Industry / Manufacturing, Medieval, Religious, Territory Building",Uwe Rosenberg,3.8913
74,https://boardgamegeek.com/boardgame/146652/legendary-encounters-alien-deck-building-game,146652,Legendary Encounters: An Alien Deck Building Game,1,5,45,45,45,,7.87038,7.52757,6375,//cf.geekdo-images.com/images/pic2225180.jpg,17,"Card Drafting, Co-operative Play, Deck / Pool Building, Player Elimination, Variable Player Powers",9583,"Card Game, Horror, Movies / TV / Radio theme, Science Fiction","Ben Cichoski, Daniel Mandel",2.7087
75,https://boardgamegeek.com/boardgame/125153/gallerist,125153,The Gallerist,,4,150,60,150,,8.06015,7.52346,,//cf.geekdo-images.com/images/pic2503200.png,13,"Commodity Speculation, Set Collection, Worker Placement",5660,Economic,Vital Lacerda,4.2606
76,https://boardgamegeek.com/boardgame/126042/nations,126042,Nations,1,5,200,40,200,,7.7628,7.51715,,//cf.geekdo-images.com/images/pic1591406.png,14,"Card Drafting, Variable Player Powers",9093,"Card Game, Civilization, Economic","Rustan Håkansson, Nina Håkansson, Einar Rosén, Robert Rosén",3.5337
77,https://boardgamegeek.com/boardgame/123260/suburbia,123260,Suburbia,1,4,90,90,90,,7.64691,7.50681,,//cf.geekdo-images.com/images/pic1418335.jpg,8,"Card Drafting, Set Collection, Tile Placement",17850,"City Building, Economic",Ted Alspach,2.7742
78,https://boardgamegeek.com/boardgame/14105/commands-colors-ancients,14105,Commands & Colors: Ancients,2,2,60,60,60,,7.79826,7.50252,,//cf.geekdo-images.com/images/pic132447.jpg,12,"Campaign / Battle Card Driven, Dice Rolling, Hand Management, Hex-and-Counter, Modular Board",8750,"Ancient, Wargame",Richard Borg,2.6907
79,https://boardgamegeek.com/boardgame/147020/star-realms,147020,Star Realms,2,2,20,20,20,,7.641,7.49816,,//cf.geekdo-images.com/images/pic1903816.jpg,12,"Card Drafting, Deck / Pool Building, Player Elimination, Take That",27944,"Card Game, Fighting, Science Fiction","Robert Dougherty, Darwin Kastle",1.9729
